,id,word,roles,and_roles,root,aor,imp,inf,root_cyr,stem oral/nasal,class,vowel,twol
73,88,ГНУТЬСЯ,<что:ном>,,√geldi,gelli/HL,gellib/HL,gellu/HLH,√гелди,?,0,0,0
74,88,ГНУТЬСЯ,<что:ном>,,√q'ulundi,q'ulunni/HHL,q'ulunnib/HHL,q'ulunnu/HHL,√къулунди,n,0,0,0
75,88,ГНУТЬСЯ,<что:ном>,,√č'ilok'urɬi,č'ilok'urɬi/HHHL,č'ilok'urɬib/HHHL,č'ilok'urɬidu/HHHL,√чІилокІурлъи,o,0,0,0
76,90,"ТРОГАТЬ, КАСАТЬСЯ",<кто:эрг; чем:ном; что/чего:лок>,<эрг; инст; ном> ,√Gᵂobdi,Gᵂobdi/HL,Gᵂobdo/HL,Gᵂobdu/HL,√къгвобди,o,0,0,0
77,91,ТОЛКАТЬ,<кто:эрг; что:ном>,,√Gumdi,Gummi/HL,Gummo/HL,Gummu/HL,√къгумди,?,0,0,0
78,92,ТЯНУТЬ,<кто:эрг; что:ном>,,√L'andi,L'anni/HL,L'anno/HL,L'annu/HL,√кьанди,n,0,0,0
79,93,"ТАЩИТЬ, ВОЛОЧИТЬ",<кто:эрг; что:ном>,,√qurdi,qurdi/HL,qurdo/HL,qurdu/HL,√хъурди,o,0,0,0
80,93,"ТАЩИТЬ, ВОЛОЧИТЬ",<кто:эрг; что:ном>,,√=Vš:i,"4 ruš:i/L, 4pl raš:i","4 ruš:o/L, 4pl raš:o",4 ruš:du/L,√=Vщи,o,1,1,0
81,94,НЕСТИ (приносить),<кто:эрг; что:ном>,,√=Vgo,"5 biqo/HL, 5pl boqo",5 biqo,5 biqidu,√=Vго,o,1,1,0
82,94,НЕСТИ (брать с собой),<кто:эрг; что:ном>,,√=ač:undi,4sg/pl rač:unni/L,4 rač:unno,4 rač:unnu,√=аччунди,n,1,0,?
83,94,"НЕСТИ (нести, уносить)",<кто:эрг; что:ном>,,√=VXi,"4 riXi/L, 5 biXi, 5pl boXi",4 riXo,4 riXidu,√=Vхи,o,1,1,0
84,95,"БРОСАТЬ, КИДАТЬ",<кто:эрг; что:ном; во что:лок>,,√šamdi,šammi/HL,šammo/HL,šammu/HL,√шамди,?,0,0,0
85,96,СТРЕЛЯТЬ,<кто:эрг; в кого:лок; из чего:ном>,<эрг; ном; лок> ,√bilan,bilan/L,bilon/L,bilinnu/L,√билан,n,0,0,0
86,97,"КАЧАТЬСЯ, ШЕВЕЛИТЬСЯ",<что:ном>,,√GiGabšo,GiGabšo/HHL,GiGabšob/HHL,GiGabšdu/HHL,√къгикъгабшо,o,0,0,0
87,98,КАЧАТЬ,<кто:эрг; что:ном>,,√GiGabšo,GiGabšo/HHL,GiGabšo/HHL,GiGabšdu/HHL,√къгикъгабшо,o,0,0,0
88,99,МАХАТЬ,<кто:эрг; чем:ном>,,√xᵂ:ahešo,xᵂ:ahešo/LHL,xᵂ:ahešo/LHL,xᵂ:ahešdu/LHL,√хьхьвагьешо,o,0,0,0
89,100,ОТКРЫВАТЬСЯ,<что:ном>,,√arXon,arXon/HL,arXom/HL,arXinnu/HL,√aрхон,n,0,0,0
90,101,ОТКРЫВАТЬ,<кто:эрг; что:ном>,,√arXon,arXon/HL,arXon/HL,arXinnu/HL,√aрхон,n,0,0,0
91,102,ОТПИРАТЬ,<кто:эрг; что:ном>,,√arXon,arXon/HL,arXom/HL,arXinnu/HL,√aрхон,n,0,0,0
92,103,ЗАКРЫВАТЬСЯ,<что:ном>,,√joq'an,joq'an/H,joq'om/H,joq'innu/HHL,√йокъан,n,0,0,0
93,104,ЗАКРЫВАТЬ,<кто:эрг; что:ном>,,√joq'an,joq'an/H,joq'on/H,joq'innu/HHL,√йокъан,n,0,0,0
94,105,ЗАПИРАТЬ,<кто:эрг; чем:ном>,,√daš:i,daš:i/HL,daš:o/HL,daš:du/HL,√дащи,o,0,0,0
95,106,МАЗАТЬ,<кто:эрг; чем:ном; на что:лок>,,√=ušo,5 bušo/L,5 bušo/L,5 bušidu/L,√=ушо,o,1,0,?
96,107,ПРИВЯЗЫВАТЬ,<кто:эрг; что:ном; к чему:лок>,,√=ošan,2sg/pl jošan/L,5 bošon/L,5 bošinnu/L,√=ошан,n,1,0,?
97,108,СВЯЗЫВАТЬ,<кто:эрг; что:ном>,,√=ošan,2sg/pl jošan/L,5 bošon/L,5 bošinnu/L,√=ошан,n,1,0,?
98,109,ОТВЯЗЫВАТЬ,<кто:эрг; что:ном>,,√=ajčo,5 bajčo/L,5 bajčo/L,5 bajčidu/L,√=айчо,o,1,0,?
99,110,ПРИЛИПАТЬ,<что:ном>,,√=ac'i,5 bac'i/HL,5 bac'ib/HL,5 bac'idu/HL,√=ацІи,o,1,0,?
